seller_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom
AGENT,3.0,BHK,Independent Floor,Central Ridge Reserve Forest,375000.0,2200.0,Semi-Furnished,3.0
AGENT,3.0,BHK,Independent Floor,Green Park,100000.0,2200.0,Semi-Furnished,3.0
AGENT,4.0,BHK,Independent Floor,Safdarjung Enclave,130000.0,2700.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent House,Greater kailash 1,300000.0,5500.0,Unfurnished,4.0
AGENT,4.0,BHK,Independent Floor,Central Ridge Reserve Forest,400000.0,5500.0,Semi-Furnished,4.0
AGENT,3.0,BHK,Independent Floor,Defence Colony,125000.0,2700.0,Unfurnished,3.0
AGENT,3.0,BHK,Independent Floor,Sarvodaya Enclave,85000.0,2000.0,Semi-Furnished,3.0
AGENT,10.0,BHK,Independent House,Vasant Vihar,1100000.0,9000.0,Semi-Furnished,10.0
AGENT,4.0,BHK,Independent Floor,Sarvpriya Vihar,190000.0,2000.0,Semi-Furnished,4.0
AGENT,3.0,BHK,Independent Floor,Panchsheel Enclave,95000.0,1900.0,Semi-Furnished,3.0
AGENT,4.0,BHK,Independent Floor,Green Park,125000.0,2100.0,Semi-Furnished,4.0
AGENT,3.0,BHK,Independent Floor,Shanti Niketan,200000.0,4000.0,Unfurnished,3.0
AGENT,4.0,BHK,Independent Floor,Panchsheel Park,275000.0,3000.0,Unfurnished,4.0
AGENT,5.0,BHK,Independent House,Malcha,575000.0,2200.0,Unfurnished,5.0
AGENT,6.0,BHK,Independent House,Golf Links,600000.0,2200.0,Unfurnished,6.0
AGENT,4.0,BHK,Independent Floor,Hauz Khas,215000.0,2500.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Greater Kailash II,90000.0,2000.0,Semi-Furnished,4.0
AGENT,3.0,BHK,Independent Floor,Gulmohar park,90000.0,1600.0,Semi-Furnished,3.0
AGENT,4.0,BHK,Independent Floor,Sadiq Nagar,150000.0,2200.0,Semi-Furnished,4.0
AGENT,3.0,BHK,Independent Floor,Greater Kailash,80000.0,1700.0,Semi-Furnished,3.0
AGENT,4.0,BHK,Independent Floor,Gulmohar park,220000.00000000003,2500.0,Furnished,4.0
AGENT,3.0,BHK,Independent Floor,Anand Niketan,200000.0,2200.0,Semi-Furnished,3.0
AGENT,4.0,BHK,Independent Floor,Hauz Khas,210000.0,2500.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Gulmohar park,225000.0,4200.0,Semi-Furnished,5.0
AGENT,3.0,BHK,Independent Floor,Defence Colony,150000.0,2050.0,Unfurnished,3.0
AGENT,4.0,BHK,Independent Floor,Vasant Vihar,120000.0,2200.0,Unfurnished,5.0
